Model,AUC-ROC,AUC-std,F1,Precision,Recall
XGBoost,0.9895767329161416,0.0016447509961623815,0.9373959743199738,0.9319220842554463,0.9429826338963097
LightGBM,0.9887207089065276,0.0019412629698107597,0.9352151868712799,0.9281957087350212,0.9423718642439789
RandomForest,0.9792233436767379,0.002565533089112303,0.915321932077805,0.8994287085083611,0.9319924094242229
LogisticRegression,0.9782912746532466,0.0017813953597726714,0.9121830954250694,0.9176320053948833,0.9069922165491235
ExtraTrees,0.9765319761424104,0.0029868673236495887,0.9110599680011034,0.8987158869746341,0.9241128871514912
